Name,Full Name,Korean Description,English Description,대분류,중분류,소분류
ACC,Agent Chatbot Core,"목적: 지역화폐 챗봇 에이전트의 코어 서버. LLM과 지역화폐 문서, Wallet 정책/개인화 정보를 결합해 응답 생성.
주요 기능:
- AI(LLM)·도메인 문서·Wallet 정책 결합 응답 생성
- 민감정보 마스킹 처리
- ACW로 SSE 응답 전달
도메인: AI 챗봇, 지역화폐, LLM, 마스킹
연계: ACW, Wallet 서버","Purpose: Core server of the local-currency chatbot agent; combines LLM with domain docs and Wallet policy/personalization data.
Functions:
- Synthesize responses from LLM, knowledge base, Wallet data
- Mask sensitive personal information
- Stream responses to ACW via SSE
Domain: AI chatbot, local currency, LLM, masking
Related: ACW, Wallet servers",운영,고객센터,AI 챗봇 코어
ACS,Accumulation Calculation System,"목적: 거래에 대한 누적 정보를 관리하고 누적 기준 이벤트에 제공.
주요 기능:
- 거래 누적 데이터 관리
- 이벤트별 누적 기준 정보 제공
도메인: 누적, 거래, 이벤트
연계: IAS","Purpose: Manages cumulative transaction information and feeds it to events.
Functions:
- Manage cumulative transaction data
- Provide cumulative info to event policies
Domain: accumulation, transaction, event
Related: IAS",거래,결제,거래 누적
ACW,Agent Chatbot Web,"목적: 지역화폐 챗봇 에이전트의 웹 서버. ACC와 SSE로 통신하며 사용자에게 화면을 실시간 렌더링.
주요 기능:
- ACC와 SSE 실시간 통신
- 사용자 UI 실시간 렌더링
도메인: AI 챗봇, 웹 UI, SSE
연계: ACC","Purpose: Web server of the local-currency chatbot agent; renders UI in real time via SSE with ACC.
Functions:
- Real-time SSE link to ACC
- Render chatbot UI to user
Domain: AI chatbot, web UI, SSE
Related: ACC",운영,고객센터,AI 챗봇 UI
AFS,Annual Fee Service,"목적: 연회비 정기 결제 서비스. 카드 출금 실패 시 계좌 출금으로 진행.
주요 기능:
- 연회비 정기 결제 처리
- 카드 출금 → 계좌 출금 순 폴백
- 카드 혜택 기준 결제
도메인: 연회비, 정기결제, 카드, 계좌출금","Purpose: Recurring payment service for annual fees; falls back from card debit to bank debit on failure.
Functions:
- Recurring annual fee charge
- Card debit, fallback to bank debit
- Charge based on card benefits
Domain: annual fee, recurring payment, card, bank debit",카드,카드 관리,연회비
AGS,Authorization Gateway Service,"목적: JWT 토큰 기반으로 인증된 API만 특정 서버로 라우팅하는 인증 게이트웨이.
주요 기능:
- JWT 토큰 검증
- 인증된 API만 백엔드 라우팅
도메인: 인증, JWT, 게이트웨이, 라우팅","Purpose: Authorization gateway routing only JWT-authenticated API calls to specific servers.
Functions:
- Validate JWT tokens
- Route authenticated API to backend
Domain: auth, JWT, gateway, routing",회원·인증,인증,인증 게이트웨이
AICC,Ai Contact Center,"목적: AI 고객센터. 문의 의도 파악 후 시스템 정책과 개인화 데이터를 활용해 고객 서비스 운영을 간소화.
주요 기능:
- 고객 문의 의도 분석
- 정책+개인화 기반 AI 응대
- 상담 자동화
도메인: AI, 고객센터, 챗봇, 의도분석
연계: 개인화 데이터, 정책 컴포넌트","Purpose: AI customer-contact center; understands inquiry intent and streamlines operations using policy and personalization.
Functions:
- Detect customer inquiry intent
- Respond using policy + personalization
- Automate contact center
Domain: AI, contact center, chatbot, intent
Related: personalization, policy components",운영,고객센터,AI 챗봇 코어
AICV,Ai Contract Validation,"목적: 가맹점 계약 검증 컴포넌트. 가맹점 계약 검수 API 제공.
주요 기능:
- 가맹점 계약 검수 API 제공
도메인: 가맹점, 계약, 검증, API","Purpose: Merchant contract validation component (API server).
Functions:
- Provide merchant contract validation API
Domain: merchant, contract, validation, API",가맹점,가맹점 관리,가맹점 검증
AMLS,Aml Service,"목적: 코나카드 결제 플랫폼과 AML 솔루션을 연계하는 인터페이스 서비스.
주요 기능:
- 결제 플랫폼-AML 호출 중계
- AML 응답 처리
도메인: AML, 결제, 외부연계
연계: AML 솔루션, 결제 플랫폼","Purpose: Interface service that bridges KonaCard payment platform and the AML solution.
Functions:
- Relay calls between platform and AML
- Handle AML responses
Domain: AML, payment, integration
Related: AML solution, payment platform",플랫폼,외부 연계,AML 연계
AMM,App Meter Manager,"목적: 앱미터 단말기를 관리하는 서비스. 개통/해지/설정 업데이트 수행.
주요 기능:
- 앱미터 단말기 개통
- 단말기 해지
- 단말기 설정 업데이트
도메인: 모빌리티, 앱미터, 단말기 관리","Purpose: AppMeter terminal manager; opens, cancels, and updates settings of AppMeter devices.
Functions:
- Open AppMeter terminal
- Cancel terminal
- Update terminal settings
Domain: mobility, AppMeter, terminal management",모빌리티,택시 운영/자산,앱미터
AMP,Asp Management Portal,"목적: 직불승인 고객사 운영자(웰컴저축은행)에게 제공되는 포탈 서비스.
주요 기능:
- 직불승인 고객사 운영 화면 제공
도메인: 포탈, 직불승인, 웰컴저축은행","Purpose: Portal service provided to direct-payment customer operators (Welcome Savings Bank).
Functions:
- Provide ops portal for direct-payment customer
Domain: portal, direct payment, Welcome Bank",운영,운영 포탈,외부 운영 포탈
